transition_proba,skip,n_functions,n_cores,run,total_work,max_endtime,latency,hit_ratio
0.5,10,3,1,38,6572,999190,79133.79999999992,99.555
0.5,10,3,1,39,6528,998200,86174.99999999935,98.715
0.5,10,3,1,40,6579,999190,69132.2000000005,99.2
0.5,10,3,1,41,6582,999550,98792.19999999985,99.48
0.5,10,3,1,42,6612,999820,151258.0000000004,99.65
0.5,10,3,1,43,6552,999280,70446.19999999992,98.955
0.5,10,3,1,44,6554,999370,140621.70000000004,99.04
0.5,10,3,1,45,6542,998740,62594.900000000016,98.72
0.5,10,3,1,46,6507,998740,41515.599999999904,98.545
0.5,10,3,1,47,6565,998560,129618.7999999999,99.34
0.5,10,3,1,48,6570,999010,84169.49999999977,98.99
0.5,10,3,1,49,6502,999100,93080.7999999998,98.11
0.5,10,3,4,0,6561,999280,142279.99999999956,99.47
0.5,10,3,4,1,6527,999010,71509.99999999988,98.77
0.5,10,3,4,2,6555,999280,69490.6,98.87
0.5,10,3,4,3,6607,999910,389473.99999999936,99.3
0.5,10,3,4,4,6573,999370,116782.79999999976,99.75
0.5,10,3,4,5,6547,999010,99091.99999999997,98.935
0.5,10,3,4,6,6590,999370,88397.99999999974,99.475
0.5,10,3,4,7,6597,999280,122724.39999999998,99.815
0.5,10,3,4,8,6602,998380,135614.99999999948,99.415
0.5,10,3,4,9,6598,999820,115041.99999999964,99.225
0.5,10,3,4,10,6528,997840,62000.29999999995,99.065
0.5,10,3,4,11,6492,998380,46932.90000000012,98.095
0.5,10,3,4,12,6577,998740,91321.59999999928,99.11
0.5,10,3,4,13,6554,999640,63829.00000000018,99.16
0.5,10,3,4,14,6558,999370,66803.60000000015,99.23
0.5,10,3,4,15,6566,999280,89536.50000000006,99.44
0.5,10,3,4,16,6556,997930,86778.0,99.46
0.5,10,3,4,17,6581,999190,91249.9999999998,99.265
0.5,10,3,4,18,6596,999730,126060.00000000022,99.57
0.5,10,3,4,19,6571,999100,154510.00000000055,99.42
0.5,10,3,4,20,6580,999370,120467.00000000016,99.24
0.5,10,3,4,21,6537,998830,100600.80000000008,98.705
0.5,10,3,4,22,6514,999280,68701.19999999992,98.38
0.5,10,3,4,23,6528,998020,206942.1999999707,98.455
0.5,10,3,4,24,6602,999190,166346.09999999928,99.45
0.5,10,3,4,25,6591,999640,131510.00000000015,99.705
0.5,10,3,4,26,6483,999190,79028.00000000061,97.885
0.5,10,3,4,27,6498,999730,64490.799999999654,98.17
0.5,10,3,4,28,6531,999730,58105.99999999891,99.055
0.5,10,3,4,29,6501,998560,47240.0,98.175
0.5,10,3,4,30,6527,998830,82592.59999999977,98.825
0.5,10,3,4,31,6610,998380,201693.89999999982,99.48
0.5,10,3,4,32,6481,998920,104841.9999999995,97.975
0.5,10,3,4,33,6542,998740,83096.00000000006,98.52
0.5,10,3,4,34,6550,997930,96290.3000000001,98.995
0.5,10,3,4,35,6564,999100,82592.89999999988,99.155
0.5,10,3,4,36,6598,998920,105518.99999999865,99.7
0.5,10,3,4,37,6559,999460,80784.00000000009,99.26
0.5,10,3,4,38,6514,998740,129332.9999999999,98.435
0.5,10,3,4,39,6611,999730,156175.9999999988,99.665
0.5,10,3,4,40,6532,998920,99270.99999999924,98.83
0.5,10,3,4,41,6542,999370,59924.00000000009,98.84
0.5,10,3,4,42,6539,999100,116145.99999999965,98.75
0.5,10,3,4,43,6500,999100,57800.500000000015,98.44
0.5,10,3,4,44,6561,999640,82661.9999999996,98.945
0.5,10,3,4,45,6567,998110,127480.80000000287,98.785
0.5,10,3,4,46,6557,998830,103893.99999999936,99.68
0.5,10,3,4,47,6591,998830,273650.0000000002,99.32
0.5,10,3,4,48,6592,999460,127663.90000000055,99.275
0.5,10,3,4,49,6548,998650,100319.09999999989,99.105
0.5,10,3,16,0,6600,999280,180333.60000000006,99.35
0.5,10,3,16,1,6568,999370,101380.99999999996,99.355
